#1				
double Inf_Q(1346,5)  # t	steady	dry	rain	strm
-2.0000000000	-1	0	1	2
0.0000000000	18446	21477	21477	21477
0.0104166667	18446	21474	21474	21474
0.0208333333	18446	19620	19620	19620
0.0312500000	18446	19334	19334	19334
0.0416666667	18446	18978	18978	18978
0.0520833333	18446	18321	18321	18321
0.0625000000	18446	17855	17855	17855
0.0729166667	18446	17237	17237	17237
0.0833333333	18446	16453	16453	16453
0.0937500000	18446	16548	16548	16548
0.1041666667	18446	16295	16295	16295
0.1145833333	18446	14743	14743	14743
0.1250000000	18446	13613	13613	13613
0.1354166667	18446	12807	12807	12807
0.1458333333	18446	12173	12173	12173
0.1562500000	18446	11533	11533	11533
0.1666666667	18446	12198	12198	12198
0.1770833333	18446	11640	11640	11640
0.1875000000	18446	11978	11978	11978
0.1979166667	18446	13272	13272	13272
0.2083333333	18446	12452	12452	12452
0.2187500000	18446	13453	13453	13453
0.2291666667	18446	13815	13815	13815
0.2395833333	18446	13803	13803	13803
0.2500000000	18446	12514	12514	12514
0.2604166667	18446	12542	12542	12542
0.2708333333	18446	11865	11865	11865
0.2812500000	18446	12118	12118	12118
0.2916666667	18446	11906	11906	11906
0.3020833333	18446	12059	12059	12059
0.3125000000	18446	12446	12446	12446
0.3229166667	18446	12982	12982	12982
0.3333333333	18446	12956	12956	12956
0.3437500000	18446	12745	12745	12745
0.3541666667	18446	13597	13597	13597
0.3645833333	18446	14171	14171	14171
0.3750000000	18446	17637	17637	17637
0.3854166667	18446	17635	17635	17635
0.3958333333	18446	22461	22461	22461
0.4062500000	18446	26276	26276	26276
0.4166666667	18446	25598	25598	25598
0.4270833333	18446	27780	27780	27780
0.4375000000	18446	29551	29551	29551
0.4479166667	18446	31861	31861	31861
0.4583333333	18446	32171	32171	32171
0.4687500000	18446	32180	32180	32180
0.4791666667	18446	31869	31869	31869
0.4895833333	18446	28047	28047	28047
0.5000000000	18446	26695	26695	26695
0.5104166667	18446	26690	26690	26690
0.5208333333	18446	25572	25572	25572
0.5312500000	18446	25496	25496	25496
0.5416666667	18446	22401	22401	22401
0.5520833333	18446	26555	26555	26555
0.5625000000	18446	25905	25905	25905
0.5729166667	18446	24310	24310	24310
0.5833333333	18446	23404	23404	23404
0.5937500000	18446	20560	20560	20560
0.6041666667	18446	18732	18732	18732
0.6145833333	18446	25320	25320	25320
0.6250000000	18446	23046	23046	23046
0.6354166667	18446	21357	21357	21357
0.6458333333	18446	22487	22487	22487
0.6562500000	18446	18221	18221	18221
0.6666666667	18446	17442	17442	17442
0.6770833333	18446	19246	19246	19246
0.6875000000	18446	19197	19197	19197
0.6979166667	18446	19637	19637	19637
0.7083333333	18446	19014	19014	19014
0.7187500000	18446	18480	18480	18480
0.7291666667	18446	18208	18208	18208
0.7395833333	18446	18547	18547	18547
0.7500000000	18446	18666	18666	18666
0.7604166667	18446	18670	18670	18670
0.7708333333	18446	18654	18654	18654
0.7812500000	18446	23137	23137	23137
0.7916666667	18446	22509	22509	22509
0.8020833333	18446	22031	22031	22031
0.8125000000	18446	22489	22489	22489
0.8229166667	18446	18876	18876	18876
0.8333333333	18446	20674	20674	20674
0.8437500000	18446	24145	24145	24145
0.8541666667	18446	22518	22518	22518
0.8645833333	18446	22803	22803	22803
0.8750000000	18446	21780	21780	21780
0.8854166667	18446	19067	19067	19067
0.8958333333	18446	26211	26211	26211
0.9062500000	18446	24096	24096	24096
0.9166666667	18446	23071	23071	23071
0.9270833333	18446	22388	22388	22388
0.9375000000	18446	17483	17483	17483
0.9479166667	18446	25814	25814	25814
0.9583333333	18446	23248	23248	23248
0.9687500000	18446	24098	24098	24098
0.9791666667	18446	22402	22402	22402
0.9895833333	18446	19962	19962	19962
1.0000000000	18446	18363	18363	18363
1.0104166667	18446	18618	18618	18618
1.0208333333	18446	19046	19046	19046
1.0312500000	18446	23433	23433	23433
1.0416666667	18446	22011	22011	22011
1.0520833333	18446	23310	23310	23310
1.0625000000	18446	23158	23158	23158
1.0729166667	18446	15122	15122	15122
1.0833333333	18446	15319	15319	15319
1.0937500000	18446	15342	15342	15342
1.1041666667	18446	14751	14751	14751
1.1145833333	18446	14287	14287	14287
1.1250000000	18446	12478	12478	12478
1.1354166667	18446	12477	12477	12477
1.1458333333	18446	11347	11347	11347
1.1562500000	18446	11037	11037	11037
1.1666666667	18446	10473	10473	10473
1.1770833333	18446	10000	10000	10000
1.1875000000	18446	11258	11258	11258
1.1979166667	18446	10436	10436	10436
1.2083333333	18446	10976	10976	10976
1.2187500000	18446	11250	11250	11250
1.2291666667	18446	11740	11740	11740
1.2395833333	18446	11562	11562	11562
1.2500000000	18446	12124	12124	12124
1.2604166667	18446	12578	12578	12578
1.2708333333	18446	11399	11399	11399
1.2812500000	18446	11448	11448	11448
1.2916666667	18446	12090	12090	12090
1.3020833333	18446	12429	12429	12429
1.3125000000	18446	11500	11500	11500
1.3229166667	18446	11717	11717	11717
1.3333333333	18446	11751	11751	11751
1.3437500000	18446	11489	11489	11489
1.3541666667	18446	12859	12859	12859
1.3645833333	18446	12350	12350	12350
1.3750000000	18446	12194	12194	12194
1.3854166667	18446	15329	15329	15329
1.3958333333	18446	22901	22901	22901
1.4062500000	18446	23690	23690	23690
1.4166666667	18446	24749	24749	24749
1.4270833333	18446	27249	27249	27249
1.4375000000	18446	29504	29504	29504
1.4479166667	18446	31868	31868	31868
1.4583333333	18446	32126	32126	32126
1.4687500000	18446	31909	31909	31909
1.4791666667	18446	31927	31927	31927
1.4895833333	18446	31719	31719	31719
1.5000000000	18446	30926	30926	30926
1.5104166667	18446	27039	27039	27039
1.5208333333	18446	25844	25844	25844
1.5312500000	18446	25174	25174	25174
1.5416666667	18446	24783	24783	24783
1.5520833333	18446	24444	24444	24444
1.5625000000	18446	22762	22762	22762
1.5729166667	18446	24940	24940	24940
1.5833333333	18446	24113	24113	24113
1.5937500000	18446	23320	23320	23320
1.6041666667	18446	22247	22247	22247
1.6145833333	18446	21875	21875	21875
1.6250000000	18446	21863	21863	21863
1.6354166667	18446	21236	21236	21236
1.6458333333	18446	21473	21473	21473
1.6562500000	18446	20822	20822	20822
1.6666666667	18446	20463	20463	20463
1.6770833333	18446	20034	20034	20034
1.6875000000	18446	19328	19328	19328
1.6979166667	18446	18928	18928	18928
1.7083333333	18446	18510	18510	18510
1.7187500000	18446	18319	18319	18319
1.7291666667	18446	18224	18224	18224
1.7395833333	18446	19106	19106	19106
1.7500000000	18446	22491	22491	22491
1.7604166667	18446	21604	21604	21604
1.7708333333	18446	22228	22228	22228
1.7812500000	18446	21169	21169	21169
1.7916666667	18446	19849	19849	19849
1.8020833333	18446	17451	17451	17451
1.8125000000	18446	18335	18335	18335
1.8229166667	18446	22018	22018	22018
1.8333333333	18446	23369	23369	23369
1.8437500000	18446	23270	23270	23270
1.8541666667	18446	25050	25050	25050
1.8645833333	18446	21540	21540	21540
1.8750000000	18446	19321	19321	19321
1.8854166667	18446	21190	21190	21190
1.8958333333	18446	26591	26591	26591
1.9062500000	18446	24225	24225	24225
1.9166666667	18446	23902	23902	23902
1.9270833333	18446	24339	24339	24339
1.9375000000	18446	21529	21529	21529
1.9479166667	18446	26978	26978	26978
1.9583333333	18446	25693	25693	25693
1.9687500000	18446	24779	24779	24779
1.9791666667	18446	24086	24086	24086
1.9895833333	18446	23308	23308	23308
2.0000000000	18446	21017	21017	21017
2.0104166667	18446	21014	21014	21014
2.0208333333	18446	19118	19118	19118
2.0312500000	18446	18847	18847	18847
2.0416666667	18446	18509	18509	18509
2.0520833333	18446	17886	17886	17886
2.0625000000	18446	17445	17445	17445
2.0729166667	18446	16858	16858	16858
2.0833333333	18446	16116	16116	16116
2.0937500000	18446	16206	16206	16206
2.1041666667	18446	15965	15965	15965
2.1145833333	18446	14494	14494	14494
2.1250000000	18446	13423	13423	13423
2.1354166667	18446	12660	12660	12660
2.1458333333	18446	12059	12059	12059
2.1562500000	18446	11453	11453	11453
2.1666666667	18446	12083	12083	12083
2.1770833333	18446	11554	11554	11554
2.1875000000	18446	11875	11875	11875
2.1979166667	18446	13101	13101	13101
2.2083333333	18446	12323	12323	12323
2.2187500000	18446	13271	13271	13271
2.2291666667	18446	13614	13614	13614
2.2395833333	18446	13604	13604	13604
2.2500000000	18446	12382	12382	12382
2.2604166667	18446	12408	12408	12408
2.2708333333	18446	11767	11767	11767
2.2812500000	18446	12006	12006	12006
2.2916666667	18446	11805	11805	11805
2.3020833333	18446	11951	11951	11951
2.3125000000	18446	12317	12317	12317
2.3229166667	18446	12825	12825	12825
2.3333333333	18446	12800	12800	12800
2.3437500000	18446	12600	12600	12600
2.3541666667	18446	13408	13408	13408
2.3645833333	18446	13952	13952	13952
2.3750000000	18446	17235	17235	17235
2.3854166667	18446	17233	17233	17233
2.3958333333	18446	21804	21804	21804
2.4062500000	18446	25418	25418	25418
2.4166666667	18446	24776	24776	24776
2.4270833333	18446	26842	26842	26842
2.4375000000	18446	28519	28519	28519
2.4479166667	18446	30707	30707	30707
2.4583333333	18446	31000	31000	31000
2.4687500000	18446	31009	31009	31009
2.4791666667	18446	30713	30713	30713
2.4895833333	18446	27093	27093	27093
2.5000000000	18446	25812	25812	25812
2.5104166667	18446	25808	25808	25808
2.5208333333	18446	24748	24748	24748
2.5312500000	18446	24677	24677	24677
2.5416666667	18446	21745	21745	21745
