#1				
double Inf_Si(1346,5)  # t	steady	dry	rain	strm
-2.0000000000	-1	0	1	2
0.0000000000	30	30	30	30
0.0104166667	30	30	30	30
0.0208333333	30	30	30	30
0.0312500000	30	30	30	30
0.0416666667	30	30	30	30
0.0520833333	30	30	30	30
0.0625000000	30	30	30	30
0.0729166667	30	30	30	30
0.0833333333	30	30	30	30
0.0937500000	30	30	30	30
0.1041666667	30	30	30	30
0.1145833333	30	30	30	30
0.1250000000	30	30	30	30
0.1354166667	30	30	30	30
0.1458333333	30	30	30	30
0.1562500000	30	30	30	30
0.1666666667	30	30	30	30
0.1770833333	30	30	30	30
0.1875000000	30	30	30	30
0.1979166667	30	30	30	30
0.2083333333	30	30	30	30
0.2187500000	30	30	30	30
0.2291666667	30	30	30	30
0.2395833333	30	30	30	30
0.2500000000	30	30	30	30
0.2604166667	30	30	30	30
0.2708333333	30	30	30	30
0.2812500000	30	30	30	30
0.2916666667	30	30	30	30
0.3020833333	30	30	30	30
0.3125000000	30	30	30	30
0.3229166667	30	30	30	30
0.3333333333	30	30	30	30
0.3437500000	30	30	30	30
0.3541666667	30	30	30	30
0.3645833333	30	30	30	30
0.3750000000	30	30	30	30
0.3854166667	30	30	30	30
0.3958333333	30	30	30	30
0.4062500000	30	30	30	30
0.4166666667	30	30	30	30
0.4270833333	30	30	30	30
0.4375000000	30	30	30	30
0.4479166667	30	30	30	30
0.4583333333	30	30	30	30
0.4687500000	30	30	30	30
0.4791666667	30	30	30	30
0.4895833333	30	30	30	30
0.5000000000	30	30	30	30
0.5104166667	30	30	30	30
0.5208333333	30	30	30	30
0.5312500000	30	30	30	30
0.5416666667	30	30	30	30
0.5520833333	30	30	30	30
0.5625000000	30	30	30	30
0.5729166667	30	30	30	30
0.5833333333	30	30	30	30
0.5937500000	30	30	30	30
0.6041666667	30	30	30	30
0.6145833333	30	30	30	30
0.6250000000	30	30	30	30
0.6354166667	30	30	30	30
0.6458333333	30	30	30	30
0.6562500000	30	30	30	30
0.6666666667	30	30	30	30
0.6770833333	30	30	30	30
0.6875000000	30	30	30	30
0.6979166667	30	30	30	30
0.7083333333	30	30	30	30
0.7187500000	30	30	30	30
0.7291666667	30	30	30	30
0.7395833333	30	30	30	30
0.7500000000	30	30	30	30
0.7604166667	30	30	30	30
0.7708333333	30	30	30	30
0.7812500000	30	30	30	30
0.7916666667	30	30	30	30
0.8020833333	30	30	30	30
0.8125000000	30	30	30	30
0.8229166667	30	30	30	30
0.8333333333	30	30	30	30
0.8437500000	30	30	30	30
0.8541666667	30	30	30	30
0.8645833333	30	30	30	30
0.8750000000	30	30	30	30
0.8854166667	30	30	30	30
0.8958333333	30	30	30	30
0.9062500000	30	30	30	30
0.9166666667	30	30	30	30
0.9270833333	30	30	30	30
0.9375000000	30	30	30	30
0.9479166667	30	30	30	30
0.9583333333	30	30	30	30
0.9687500000	30	30	30	30
0.9791666667	30	30	30	30
0.9895833333	30	30	30	30
1.0000000000	30	30	30	30
1.0104166667	30	30	30	30
1.0208333333	30	30	30	30
1.0312500000	30	30	30	30
1.0416666667	30	30	30	30
1.0520833333	30	30	30	30
1.0625000000	30	30	30	30
1.0729166667	30	30	30	30
1.0833333333	30	30	30	30
1.0937500000	30	30	30	30
1.1041666667	30	30	30	30
1.1145833333	30	30	30	30
1.1250000000	30	30	30	30
1.1354166667	30	30	30	30
1.1458333333	30	30	30	30
1.1562500000	30	30	30	30
1.1666666667	30	30	30	30
1.1770833333	30	30	30	30
1.1875000000	30	30	30	30
1.1979166667	30	30	30	30
1.2083333333	30	30	30	30
1.2187500000	30	30	30	30
1.2291666667	30	30	30	30
1.2395833333	30	30	30	30
1.2500000000	30	30	30	30
1.2604166667	30	30	30	30
1.2708333333	30	30	30	30
1.2812500000	30	30	30	30
1.2916666667	30	30	30	30
1.3020833333	30	30	30	30
1.3125000000	30	30	30	30
1.3229166667	30	30	30	30
1.3333333333	30	30	30	30
1.3437500000	30	30	30	30
1.3541666667	30	30	30	30
1.3645833333	30	30	30	30
1.3750000000	30	30	30	30
1.3854166667	30	30	30	30
1.3958333333	30	30	30	30
1.4062500000	30	30	30	30
1.4166666667	30	30	30	30
1.4270833333	30	30	30	30
1.4375000000	30	30	30	30
1.4479166667	30	30	30	30
1.4583333333	30	30	30	30
1.4687500000	30	30	30	30
1.4791666667	30	30	30	30
1.4895833333	30	30	30	30
1.5000000000	30	30	30	30
1.5104166667	30	30	30	30
1.5208333333	30	30	30	30
1.5312500000	30	30	30	30
1.5416666667	30	30	30	30
1.5520833333	30	30	30	30
1.5625000000	30	30	30	30
1.5729166667	30	30	30	30
1.5833333333	30	30	30	30
1.5937500000	30	30	30	30
1.6041666667	30	30	30	30
1.6145833333	30	30	30	30
1.6250000000	30	30	30	30
1.6354166667	30	30	30	30
1.6458333333	30	30	30	30
1.6562500000	30	30	30	30
1.6666666667	30	30	30	30
1.6770833333	30	30	30	30
1.6875000000	30	30	30	30
1.6979166667	30	30	30	30
1.7083333333	30	30	30	30
1.7187500000	30	30	30	30
1.7291666667	30	30	30	30
1.7395833333	30	30	30	30
1.7500000000	30	30	30	30
1.7604166667	30	30	30	30
1.7708333333	30	30	30	30
1.7812500000	30	30	30	30
1.7916666667	30	30	30	30
1.8020833333	30	30	30	30
1.8125000000	30	30	30	30
1.8229166667	30	30	30	30
1.8333333333	30	30	30	30
1.8437500000	30	30	30	30
