#1				
double Inf_Snd(1346,5)  # t	steady	dry	rain	strm
-2.0000000000	-1	0	1	2
0.0000000000	6.95	6.36	6.36	6.36
0.0104166667	6.95	6.17	6.17	6.17
0.0208333333	6.95	6.17	6.17	6.17
0.0312500000	6.95	6.22	6.22	6.22
0.0416666667	6.95	6.46	6.46	6.46
0.0520833333	6.95	6.78	6.78	6.78
0.0625000000	6.95	7.21	7.21	7.21
0.0729166667	6.95	7.25	7.25	7.25
0.0833333333	6.95	6.98	6.98	6.98
0.0937500000	6.95	6.75	6.75	6.75
0.1041666667	6.95	6.28	6.28	6.28
0.1145833333	6.95	6.25	6.25	6.25
0.1250000000	6.95	5.37	5.37	5.37
0.1354166667	6.95	5.44	5.44	5.44
0.1458333333	6.95	5.01	5.01	5.01
0.1562500000	6.95	4.64	4.64	4.64
0.1666666667	6.95	4.44	4.44	4.44
0.1770833333	6.95	4.26	4.26	4.26
0.1875000000	6.95	4	4	4
0.1979166667	6.95	4.04	4.04	4.04
0.2083333333	6.95	4.08	4.08	4.08
0.2187500000	6.95	4.05	4.05	4.05
0.2291666667	6.95	4.08	4.08	4.08
0.2395833333	6.95	4.05	4.05	4.05
0.2500000000	6.95	4.05	4.05	4.05
0.2604166667	6.95	4.05	4.05	4.05
0.2708333333	6.95	4.03	4.03	4.03
0.2812500000	6.95	4.01	4.01	4.01
0.2916666667	6.95	4	4	4
0.3020833333	6.95	4.03	4.03	4.03
0.3125000000	6.95	4.06	4.06	4.06
0.3229166667	6.95	4.09	4.09	4.09
0.3333333333	6.95	4.12	4.12	4.12
0.3437500000	6.95	4.19	4.19	4.19
0.3541666667	6.95	4.24	4.24	4.24
0.3645833333	6.95	4.39	4.39	4.39
0.3750000000	6.95	4.88	4.88	4.88
0.3854166667	6.95	5.99	5.99	5.99
0.3958333333	6.95	7.15	7.15	7.15
0.4062500000	6.95	8	8	8
0.4166666667	6.95	9.49	9.49	9.49
0.4270833333	6.95	10.58	10.58	10.58
0.4375000000	6.95	11.52	11.52	11.52
0.4479166667	6.95	12	12	12
0.4583333333	6.95	11.9	11.9	11.9
0.4687500000	6.95	11.21	11.21	11.21
0.4791666667	6.95	10.25	10.25	10.25
0.4895833333	6.95	9.48	9.48	9.48
0.5000000000	6.95	8.84	8.84	8.84
0.5104166667	6.95	8.13	8.13	8.13
0.5208333333	6.95	7.58	7.58	7.58
0.5312500000	6.95	7.04	7.04	7.04
0.5416666667	6.95	6.83	6.83	6.83
0.5520833333	6.95	6.7	6.7	6.7
0.5625000000	6.95	6.68	6.68	6.68
0.5729166667	6.95	6.71	6.71	6.71
0.5833333333	6.95	6.81	6.81	6.81
0.5937500000	6.95	6.87	6.87	6.87
0.6041666667	6.95	6.83	6.83	6.83
0.6145833333	6.95	6.52	6.52	6.52
0.6250000000	6.95	6.16	6.16	6.16
0.6354166667	6.95	5.98	5.98	5.98
0.6458333333	6.95	5.89	5.89	5.89
0.6562500000	6.95	5.94	5.94	5.94
0.6666666667	6.95	6.02	6.02	6.02
0.6770833333	6.95	6.24	6.24	6.24
0.6875000000	6.95	6.59	6.59	6.59
0.6979166667	6.95	6.56	6.56	6.56
0.7083333333	6.95	6.4	6.4	6.4
0.7187500000	6.95	5.95	5.95	5.95
0.7291666667	6.95	5.83	5.83	5.83
0.7395833333	6.95	5.73	5.73	5.73
0.7500000000	6.95	5.87	5.87	5.87
0.7604166667	6.95	6.05	6.05	6.05
0.7708333333	6.95	6.33	6.33	6.33
0.7812500000	6.95	6.24	6.24	6.24
0.7916666667	6.95	6.22	6.22	6.22
0.8020833333	6.95	6.2	6.2	6.2
0.8125000000	6.95	6.64	6.64	6.64
0.8229166667	6.95	6.72	6.72	6.72
0.8333333333	6.95	6.85	6.85	6.85
0.8437500000	6.95	7.19	7.19	7.19
0.8541666667	6.95	7.56	7.56	7.56
0.8645833333	6.95	7.74	7.74	7.74
0.8750000000	6.95	8.01	8.01	8.01
0.8854166667	6.95	8.26	8.26	8.26
0.8958333333	6.95	8.38	8.38	8.38
0.9062500000	6.95	8.42	8.42	8.42
0.9166666667	6.95	8.34	8.34	8.34
0.9270833333	6.95	8.2	8.2	8.2
0.9375000000	6.95	8.01	8.01	8.01
0.9479166667	6.95	7.78	7.78	7.78
0.9583333333	6.95	7.56	7.56	7.56
0.9687500000	6.95	7.19	7.19	7.19
0.9791666667	6.95	6.95	6.95	6.95
0.9895833333	6.95	6.75	6.75	6.75
1.0000000000	6.95	6.36	6.36	6.36
1.0104166667	6.95	6.17	6.17	6.17
1.0208333333	6.95	6.17	6.17	6.17
1.0312500000	6.95	6.22	6.22	6.22
1.0416666667	6.95	6.46	6.46	6.46
1.0520833333	6.95	6.78	6.78	6.78
1.0625000000	6.95	7.21	7.21	7.21
1.0729166667	6.95	7.25	7.25	7.25
1.0833333333	6.95	6.98	6.98	6.98
1.0937500000	6.95	6.75	6.75	6.75
1.1041666667	6.95	6.28	6.28	6.28
1.1145833333	6.95	6.22	6.22	6.22
1.1250000000	6.95	5.37	5.37	5.37
1.1354166667	6.95	5.44	5.44	5.44
1.1458333333	6.95	5.01	5.01	5.01
1.1562500000	6.95	4.64	4.64	4.64
1.1666666667	6.95	4.44	4.44	4.44
1.1770833333	6.95	4.26	4.26	4.26
1.1875000000	6.95	4	4	4
1.1979166667	6.95	4.04	4.04	4.04
1.2083333333	6.95	4.08	4.08	4.08
1.2187500000	6.95	4.05	4.05	4.05
1.2291666667	6.95	4.08	4.08	4.08
1.2395833333	6.95	4.05	4.05	4.05
1.2500000000	6.95	4.05	4.05	4.05
1.2604166667	6.95	4.05	4.05	4.05
1.2708333333	6.95	4.03	4.03	4.03
1.2812500000	6.95	4.01	4.01	4.01
1.2916666667	6.95	4	4	4
1.3020833333	6.95	4.03	4.03	4.03
1.3125000000	6.95	4.06	4.06	4.06
1.3229166667	6.95	4.09	4.09	4.09
1.3333333333	6.95	4.12	4.12	4.12
1.3437500000	6.95	4.19	4.19	4.19
1.3541666667	6.95	4.24	4.24	4.24
1.3645833333	6.95	4.39	4.39	4.39
1.3750000000	6.95	4.88	4.88	4.88
1.3854166667	6.95	5.99	5.99	5.99
1.3958333333	6.95	7.15	7.15	7.15
1.4062500000	6.95	8	8	8
1.4166666667	6.95	9.49	9.49	9.49
1.4270833333	6.95	10.58	10.58	10.58
1.4375000000	6.95	11.52	11.52	11.52
1.4479166667	6.95	12	12	12
1.4583333333	6.95	11.9	11.9	11.9
1.4687500000	6.95	11.21	11.21	11.21
1.4791666667	6.95	10.25	10.25	10.25
1.4895833333	6.95	9.48	9.48	9.48
1.5000000000	6.95	8.84	8.84	8.84
1.5104166667	6.95	8.13	8.13	8.13
1.5208333333	6.95	7.58	7.58	7.58
1.5312500000	6.95	7.04	7.04	7.04
1.5416666667	6.95	6.83	6.83	6.83
1.5520833333	6.95	6.7	6.7	6.7
1.5625000000	6.95	6.68	6.68	6.68
1.5729166667	6.95	6.71	6.71	6.71
1.5833333333	6.95	6.81	6.81	6.81
1.5937500000	6.95	6.87	6.87	6.87
1.6041666667	6.95	6.83	6.83	6.83
1.6145833333	6.95	6.52	6.52	6.52
1.6250000000	6.95	6.16	6.16	6.16
1.6354166667	6.95	5.98	5.98	5.98
1.6458333333	6.95	5.89	5.89	5.89
1.6562500000	6.95	5.94	5.94	5.94
1.6666666667	6.95	6.02	6.02	6.02
1.6770833333	6.95	6.24	6.24	6.24
1.6875000000	6.95	6.59	6.59	6.59
