#1				
double Inf_Snh(1346,5)  # t	steady	dry	rain	strm
-2.0000000000	-1	0	1	2
0.0000000000	31.56	30.25	30.25	30.25
0.0104166667	31.56	30.21	30.21	30.21
0.0208333333	31.56	31.05	31.05	31.05
0.0312500000	31.56	31.67	31.67	31.67
0.0416666667	31.56	33.16	33.16	33.16
0.0520833333	31.56	35.12	35.12	35.12
0.0625000000	31.56	37.87	37.87	37.87
0.0729166667	31.56	37.87	37.87	37.87
0.0833333333	31.56	36.85	36.85	36.85
0.0937500000	31.56	36.47	36.47	36.47
0.1041666667	31.56	34.39	34.39	34.39
0.1145833333	31.56	34.68	34.68	34.68
0.1250000000	31.56	32.07	32.07	32.07
0.1354166667	31.56	29.9	29.9	29.9
0.1458333333	31.56	27.07	27.07	27.07
0.1562500000	31.56	24.7	24.7	24.7
0.1666666667	31.56	23.39	23.39	23.39
0.1770833333	31.56	22.2	22.2	22.2
0.1875000000	31.56	20.32	20.32	20.32
0.1979166667	31.56	20.54	20.54	20.54
0.2083333333	31.56	20.72	20.72	20.72
0.2187500000	31.56	20.75	20.75	20.75
0.2291666667	31.56	20.66	20.66	20.66
0.2395833333	31.56	20.61	20.61	20.61
0.2500000000	31.56	20.54	20.54	20.54
0.2604166667	31.56	20.44	20.44	20.44
0.2708333333	31.56	20.4	20.4	20.4
0.2812500000	31.56	20.16	20.16	20.16
0.2916666667	31.56	20.03	20.03	20.03
0.3020833333	31.56	20	20	20
0.3125000000	31.56	20.1	20.1	20.1
0.3229166667	31.56	20.4	20.4	20.4
0.3333333333	31.56	20.82	20.82	20.82
0.3437500000	31.56	21.17	21.17	21.17
0.3541666667	31.56	21.61	21.61	21.61
0.3645833333	31.56	22.14	22.14	22.14
0.3750000000	31.56	24.68	24.68	24.68
0.3854166667	31.56	29.66	29.66	29.66
0.3958333333	31.56	34.25	34.25	34.25
0.4062500000	31.56	37.94	37.94	37.94
0.4166666667	31.56	43.4	43.4	43.4
0.4270833333	31.56	46.61	46.61	46.61
0.4375000000	31.56	49.25	49.25	49.25
0.4479166667	31.56	50	50	50
0.4583333333	31.56	49.25	49.25	49.25
0.4687500000	31.56	45.74	45.74	45.74
0.4791666667	31.56	40.86	40.86	40.86
0.4895833333	31.56	39.03	39.03	39.03
0.5000000000	31.56	36.85	36.85	36.85
0.5104166667	31.56	34.25	34.25	34.25
0.5208333333	31.56	32.16	32.16	32.16
0.5312500000	31.56	30.78	30.78	30.78
0.5416666667	31.56	29.8	29.8	29.8
0.5520833333	31.56	29.24	29.24	29.24
0.5625000000	31.56	28.52	28.52	28.52
0.5729166667	31.56	27.96	27.96	27.96
0.5833333333	31.56	28.13	28.13	28.13
0.5937500000	31.56	27.55	27.55	27.55
0.6041666667	31.56	27.46	27.46	27.46
0.6145833333	31.56	26.46	26.46	26.46
0.6250000000	31.56	26.18	26.18	26.18
0.6354166667	31.56	26.29	26.29	26.29
0.6458333333	31.56	26.79	26.79	26.79
0.6562500000	31.56	27.29	27.29	27.29
0.6666666667	31.56	27.12	27.12	27.12
0.6770833333	31.56	27.42	27.42	27.42
0.6875000000	31.56	28.33	28.33	28.33
0.6979166667	31.56	28.28	28.28	28.28
0.7083333333	31.56	27.71	27.71	27.71
0.7187500000	31.56	26.69	26.69	26.69
0.7291666667	31.56	26.57	26.57	26.57
0.7395833333	31.56	26.62	26.62	26.62
0.7500000000	31.56	27.46	27.46	27.46
0.7604166667	31.56	28.33	28.33	28.33
0.7708333333	31.56	29.27	29.27	29.27
0.7812500000	31.56	30.63	30.63	30.63
0.7916666667	31.56	30.59	30.59	30.59
0.8020833333	31.56	28.16	28.16	28.16
0.8125000000	31.56	29.8	29.8	29.8
0.8229166667	31.56	29.82	29.82	29.82
0.8333333333	31.56	30.3	30.3	30.3
0.8437500000	31.56	32.13	32.13	32.13
0.8541666667	31.56	33.77	33.77	33.77
0.8645833333	31.56	34.3	34.3	34.3
0.8750000000	31.56	35.64	35.64	35.64
0.8854166667	31.56	36.06	36.06	36.06
0.8958333333	31.56	35.93	35.93	35.93
0.9062500000	31.56	35.45	35.45	35.45
0.9166666667	31.56	35.7	35.7	35.7
0.9270833333	31.56	35.63	35.63	35.63
0.9375000000	31.56	35.38	35.38	35.38
0.9479166667	31.56	34.94	34.94	34.94
0.9583333333	31.56	34.14	34.14	34.14
0.9687500000	31.56	32.7	32.7	32.7
0.9791666667	31.56	31.47	31.47	31.47
0.9895833333	31.56	30.68	30.68	30.68
1.0000000000	31.56	30.25	30.25	30.25
1.0104166667	31.56	30.21	30.21	30.21
1.0208333333	31.56	31.05	31.05	31.05
1.0312500000	31.56	31.67	31.67	31.67
1.0416666667	31.56	33.16	33.16	33.16
1.0520833333	31.56	35.12	35.12	35.12
1.0625000000	31.56	37.87	37.87	37.87
1.0729166667	31.56	37.87	37.87	37.87
1.0833333333	31.56	36.85	36.85	36.85
1.0937500000	31.56	36.47	36.47	36.47
1.1041666667	31.56	34.39	34.39	34.39
1.1145833333	31.56	34.68	34.68	34.68
1.1250000000	31.56	32.07	32.07	32.07
1.1354166667	31.56	29.9	29.9	29.9
1.1458333333	31.56	27.07	27.07	27.07
1.1562500000	31.56	24.7	24.7	24.7
1.1666666667	31.56	23.39	23.39	23.39
1.1770833333	31.56	22.2	22.2	22.2
1.1875000000	31.56	20.32	20.32	20.32
1.1979166667	31.56	20.54	20.54	20.54
1.2083333333	31.56	20.72	20.72	20.72
1.2187500000	31.56	20.75	20.75	20.75
1.2291666667	31.56	20.66	20.66	20.66
1.2395833333	31.56	20.61	20.61	20.61
1.2500000000	31.56	20.54	20.54	20.54
1.2604166667	31.56	20.44	20.44	20.44
1.2708333333	31.56	20.4	20.4	20.4
1.2812500000	31.56	20.16	20.16	20.16
1.2916666667	31.56	20.03	20.03	20.03
1.3020833333	31.56	20	20	20
1.3125000000	31.56	20.1	20.1	20.1
1.3229166667	31.56	20.4	20.4	20.4
1.3333333333	31.56	20.82	20.82	20.82
1.3437500000	31.56	21.17	21.17	21.17
1.3541666667	31.56	21.61	21.61	21.61
1.3645833333	31.56	22.14	22.14	22.14
1.3750000000	31.56	24.68	24.68	24.68
1.3854166667	31.56	29.66	29.66	29.66
1.3958333333	31.56	34.25	34.25	34.25
1.4062500000	31.56	37.94	37.94	37.94
1.4166666667	31.56	43.4	43.4	43.4
1.4270833333	31.56	46.61	46.61	46.61
1.4375000000	31.56	49.25	49.25	49.25
1.4479166667	31.56	50	50	50
1.4583333333	31.56	49.25	49.25	49.25
1.4687500000	31.56	45.74	45.74	45.74
1.4791666667	31.56	40.86	40.86	40.86
1.4895833333	31.56	39.03	39.03	39.03
1.5000000000	31.56	36.85	36.85	36.85
1.5104166667	31.56	34.25	34.25	34.25
1.5208333333	31.56	32.16	32.16	32.16
1.5312500000	31.56	30.78	30.78	30.78
1.5416666667	31.56	29.8	29.8	29.8
1.5520833333	31.56	29.24	29.24	29.24
1.5625000000	31.56	28.52	28.52	28.52
1.5729166667	31.56	27.96	27.96	27.96
1.5833333333	31.56	28.13	28.13	28.13
1.5937500000	31.56	27.55	27.55	27.55
1.6041666667	31.56	27.46	27.46	27.46
1.6145833333	31.56	26.46	26.46	26.46
1.6250000000	31.56	26.18	26.18	26.18
1.6354166667	31.56	26.29	26.29	26.29
1.6458333333	31.56	26.79	26.79	26.79
1.6562500000	31.56	27.29	27.29	27.29
1.6666666667	31.56	27.12	27.12	27.12
1.6770833333	31.56	27.42	27.42	27.42
1.6875000000	31.56	28.33	28.33	28.33
1.6979166667	31.56	28.28	28.28	28.28
1.7083333333	31.56	27.71	27.71	27.71
1.7187500000	31.56	26.69	26.69	26.69
1.7291666667	31.56	26.57	26.57	26.57
1.7395833333	31.56	26.62	26.62	26.62
1.7500000000	31.56	27.46	27.46	27.46
1.7604166667	31.56	28.33	28.33	28.33
1.7708333333	31.56	29.27	29.27	29.27
1.7812500000	31.56	30.63	30.63	30.63
1.7916666667	31.56	30.59	30.59	30.59
1.8020833333	31.56	28.16	28.16	28.16
1.8125000000	31.56	29.8	29.8	29.8
1.8229166667	31.56	29.82	29.82	29.82
1.8333333333	31.56	30.3	30.3	30.3
1.8437500000	31.56	32.13	32.13	32.13
1.8541666667	31.56	33.77	33.77	33.77
1.8645833333	31.56	34.3	34.3	34.3
