#1
double Inf_Ss(1345,5)  # t steady dry rain strm
-2.0000000000 -1 0 1 2
0.0000000000 69.5 63.63 63.63 63.63
0.0104166667 69.5 61.67 61.67 61.67
0.0208333333 69.5 61.72 61.72 61.72
0.0312500000 69.5 62.16 62.16 62.16
0.0416666667 69.5 64.58 64.58 64.58
0.0520833333 69.5 67.85 67.85 67.85
0.0625000000 69.5 72.14 72.14 72.14
0.0729166667 69.5 72.47 72.47 72.47
0.0833333333 69.5 69.76 69.76 69.76
0.0937500000 69.5 67.5 67.5 67.5
0.1041666667 69.5 62.84 62.84 62.84
0.1145833333 69.5 62.47 62.47 62.47
0.1250000000 69.5 53.74 53.74 53.74
0.1354166667 69.5 54.45 54.45 54.45
0.1458333333 69.5 50.07 50.07 50.07
0.1562500000 69.5 46.35 46.35 46.35
0.1666666667 69.5 44.36 44.36 44.36
0.1770833333 69.5 42.58 42.58 42.58
0.1875000000 69.5 40 40 40
0.1979166667 69.5 40.39 40.39 40.39
0.2083333333 69.5 40.78 40.78 40.78
0.2187500000 69.5 40.47 40.47 40.47
0.2291666667 69.5 40.84 40.84 40.84
0.2395833333 69.5 40.47 40.47 40.47
0.2500000000 69.5 40.51 40.51 40.51
0.2604166667 69.5 40.52 40.52 40.52
0.2708333333 69.5 40.31 40.31 40.31
0.2812500000 69.5 40.12 40.12 40.12
0.2916666667 69.5 40.05 40.05 40.05
0.3020833333 69.5 40.34 40.34 40.34
0.3125000000 69.5 40.58 40.58 40.58
0.3229166667 69.5 40.89 40.89 40.89
0.3333333333 69.5 41.17 41.17 41.17
0.3437500000 69.5 41.86 41.86 41.86
0.3541666667 69.5 42.42 42.42 42.42
0.3645833333 69.5 43.95 43.95 43.95
0.3750000000 69.5 48.77 48.77 48.77
0.3854166667 69.5 59.89 59.89 59.89
0.3958333333 69.5 71.46 71.46 71.46
0.4062500000 69.5 80.01 80.01 80.01
0.4166666667 69.5 94.9 94.9 94.9
0.4270833333 69.5 105.78 105.78 105.78
0.4375000000 69.5 115.21 115.21 115.21
0.4479166667 69.5 120.01 120.01 120.01
0.4583333333 69.5 118.97 118.97 118.97
0.4687500000 69.5 112.11 112.11 112.11
0.4791666667 69.5 102.46 102.46 102.46
0.4895833333 69.5 94.81 94.81 94.81
0.5000000000 69.5 88.38 88.38 88.38
0.5104166667 69.5 81.29 81.29 81.29
0.5208333333 69.5 75.77 75.77 75.77
0.5312500000 69.5 70.37 70.37 70.37
0.5416666667 69.5 68.28 68.28 68.28
0.5520833333 69.5 67.03 67.03 67.03
0.5625000000 69.5 66.77 66.77 66.77
0.5729166667 69.5 67.08 67.08 67.08
0.5833333333 69.5 68.09 68.09 68.09
0.5937500000 69.5 68.72 68.72 68.72
0.6041666667 69.5 68.31 68.31 68.31
0.6145833333 69.5 65.17 65.17 65.17
0.6250000000 69.5 61.65 61.65 61.65
0.6354166667 69.5 59.76 59.76 59.76
0.6458333333 69.5 58.95 58.95 58.95
0.6562500000 69.5 59.39 59.39 59.39
0.6666666667 69.5 60.21 60.21 60.21
0.6770833333 69.5 62.43 62.43 62.43
0.6875000000 69.5 65.87 65.87 65.87
0.6979166667 69.5 65.62 65.62 65.62
0.7083333333 69.5 64 64 64
0.7187500000 69.5 59.54 59.54 59.54
0.7291666667 69.5 58.34 58.34 58.34
0.7395833333 69.5 57.34 57.34 57.34
0.7500000000 69.5 58.69 58.69 58.69
0.7604166667 69.5 60.47 60.47 60.47
0.7708333333 69.5 63.25 63.25 63.25
0.7812500000 69.5 62.37 62.37 62.37
0.7916666667 69.5 62.22 62.22 62.22
0.8020833333 69.5 62.01 62.01 62.01
0.8125000000 69.5 66.41 66.41 66.41
0.8229166667 69.5 67.19 67.19 67.19
0.8333333333 69.5 68.47 68.47 68.47
0.8437500000 69.5 71.89 71.89 71.89
0.8541666667 69.5 75.64 75.64 75.64
0.8645833333 69.5 77.44 77.44 77.44
0.8750000000 69.5 80.08 80.08 80.08
0.8854166667 69.5 82.6 82.6 82.6
0.8958333333 69.5 83.84 83.84 83.84
0.9062500000 69.5 84.22 84.22 84.22
0.9166666667 69.5 83.38 83.38 83.38
0.9270833333 69.5 82 82 82
0.9375000000 69.5 80.14 80.14 80.14
0.9479166667 69.5 77.75 77.75 77.75
0.9583333333 69.5 75.62 75.62 75.62
0.9687500000 69.5 71.87 71.87 71.87
0.9791666667 69.5 69.46 69.46 69.46
0.9895833333 69.5 67.5 67.5 67.5
1.0000000000 69.5 63.63 63.63 63.63
1.0104166667 69.5 61.67 61.67 61.67
1.0208333333 69.5 61.72 61.72 61.72
1.0312500000 69.5 62.16 62.16 62.16
1.0416666667 69.5 64.58 64.58 64.58
1.0520833333 69.5 67.85 67.85 67.85
1.0625000000 69.5 72.14 72.14 72.14
1.0729166667 69.5 72.47 72.47 72.47
1.0833333333 69.5 69.76 69.76 69.76
1.0937500000 69.5 67.5 67.5 67.5
1.1041666667 69.5 62.84 62.84 62.84
1.1145833333 69.5 62.24 62.24 62.24
1.1250000000 69.5 53.74 53.74 53.74
1.1354166667 69.5 54.45 54.45 54.45
1.1458333333 69.5 50.07 50.07 50.07
1.1562500000 69.5 46.35 46.35 46.35
1.1666666667 69.5 44.36 44.36 44.36
1.1770833333 69.5 42.58 42.58 42.58
1.1875000000 69.5 40 40 40
1.1979166667 69.5 40.39 40.39 40.39
1.2083333333 69.5 40.78 40.78 40.78
1.2187500000 69.5 40.47 40.47 40.47
1.2291666667 69.5 40.84 40.84 40.84
1.2395833333 69.5 40.47 40.47 40.47
1.2500000000 69.5 40.51 40.51 40.51
1.2604166667 69.5 40.52 40.52 40.52
1.2708333333 69.5 40.31 40.31 40.31
1.2812500000 69.5 40.12 40.12 40.12
1.2916666667 69.5 40.05 40.05 40.05
1.3020833333 69.5 40.34 40.34 40.34
1.3125000000 69.5 40.58 40.58 40.58
1.3229166667 69.5 40.89 40.89 40.89
1.3333333333 69.5 41.17 41.17 41.17
1.3437500000 69.5 41.86 41.86 41.86
1.3541666667 69.5 42.42 42.42 42.42
