#1
double Inf_Xbh(1345,5)  # t steady dry rain strm
-2.0000000000 -1 0 1 2
0.0000000000 28.17 31.43 31.43 31.43
0.0104166667 28.17 31.42 31.42 31.42
0.0208333333 28.17 30.83 30.83 30.83
0.0312500000 28.17 30.27 30.27 30.27
0.0416666667 28.17 29.72 29.72 29.72
0.0520833333 28.17 29.06 29.06 29.06
0.0625000000 28.17 29.68 29.68 29.68
0.0729166667 28.17 28.6 28.6 28.6
0.0833333333 28.17 27.56 27.56 27.56
0.0937500000 28.17 26.78 26.78 26.78
0.1041666667 28.17 26.05 26.05 26.05
0.1145833333 28.17 24.95 24.95 24.95
0.1250000000 28.17 23.71 23.71 23.71
0.1354166667 28.17 22.45 22.45 22.45
0.1458333333 28.17 21.24 21.24 21.24
0.1562500000 28.17 20.04 20.04 20.04
0.1666666667 28.17 19.24 19.24 19.24
0.1770833333 28.17 18.38 18.38 18.38
0.1875000000 28.17 17.75 17.75 17.75
0.1979166667 28.17 17.57 17.57 17.57
0.2083333333 28.17 17.12 17.12 17.12
0.2187500000 28.17 17.03 17.03 17.03
0.2291666667 28.17 17.03 17.03 17.03
0.2395833333 28.17 17 17 17
0.2500000000 28.17 16.6 16.6 16.6
0.2604166667 28.17 16.29 16.29 16.29
0.2708333333 28.17 15.85 15.85 15.85
0.2812500000 28.17 15.56 15.56 15.56
0.2916666667 28.17 15.25 15.25 15.25
0.3020833333 28.17 15.03 15.03 15.03
0.3125000000 28.17 14.95 14.95 14.95
0.3229166667 28.17 15.01 15.01 15.01
0.3333333333 28.17 15.04 15.04 15.04
0.3437500000 28.17 15 15 15
0.3541666667 28.17 15.21 15.21 15.21
0.3645833333 28.17 15.53 15.53 15.53
0.3750000000 28.17 16.37 16.37 16.37
0.3854166667 28.17 17.44 17.44 17.44
0.3958333333 28.17 19.71 19.71 19.71
0.4062500000 28.17 22.71 22.71 22.71
0.4166666667 28.17 25.05 25.05 25.05
0.4270833333 28.17 27.79 27.79 27.79
0.4375000000 28.17 30.72 30.72 30.72
0.4479166667 28.17 33.7 33.7 33.7
0.4583333333 28.17 36.31 36.31 36.31
0.4687500000 28.17 38.5 38.5 38.5
0.4791666667 28.17 40.22 40.22 40.22
0.4895833333 28.17 40.58 40.58 40.58
0.5000000000 28.17 40.49 40.49 40.49
0.5104166667 28.17 40.28 40.28 40.28
0.5208333333 28.17 39.78 39.78 39.78
0.5312500000 28.17 39.64 39.64 39.64
0.5416666667 28.17 38.41 38.41 38.41
0.5520833333 28.17 39.01 39.01 39.01
0.5625000000 28.17 39.14 39.14 39.14
0.5729166667 28.17 38.66 38.66 38.66
0.5833333333 28.17 38.01 38.01 38.01
0.5937500000 28.17 36.51 36.51 36.51
0.6041666667 28.17 34.56 34.56 34.56
0.6145833333 28.17 35.61 35.61 35.61
0.6250000000 28.17 35.41 35.41 35.41
0.6354166667 28.17 34.66 34.66 34.66
0.6458333333 28.17 34.49 34.49 34.49
0.6562500000 28.17 32.84 32.84 32.84
0.6666666667 28.17 31.18 31.18 31.18
0.6770833333 28.17 30.51 30.51 30.51
0.6875000000 28.17 29.89 29.89 29.89
0.6979166667 28.17 29.68 29.68 29.68
