#1
double Inf_Xi(1345,5)  # t steady dry rain strm
-2.0000000000 -1 0 1 2
0.0000000000 51.2 58.48 58.48 58.48
0.0104166667 51.2 58.46 58.46 58.46
0.0208333333 51.2 53.07 53.07 53.07
0.0312500000 51.2 51.46 51.46 51.46
0.0416666667 51.2 49.73 49.73 49.73
0.0520833333 51.2 47.19 47.19 47.19
0.0625000000 51.2 47.16 47.16 47.16
0.0729166667 51.2 44.13 44.13 44.13
0.0833333333 51.2 40.89 40.89 40.89
0.0937500000 51.2 39.93 39.93 39.93
0.1041666667 51.2 38.35 38.35 38.35
0.1145833333 51.2 33.82 33.82 33.82
0.1250000000 51.2 30.13 30.13 30.13
0.1354166667 51.2 27.18 27.18 27.18
0.1458333333 51.2 24.7 24.7 24.7
0.1562500000 51.2 22.34 22.34 22.34
0.1666666667 51.2 22.42 22.42 22.42
0.1770833333 51.2 20.64 20.64 20.64
0.1875000000 51.2 20.38 20.38 20.38
0.1979166667 51.2 21.88 21.88 21.88
0.2083333333 51.2 20.27 20.27 20.27
0.2187500000 51.2 21.44 21.44 21.44
0.2291666667 51.2 21.9 21.9 21.9
0.2395833333 51.2 21.84 21.84 21.84
0.2500000000 51.2 19.72 19.72 19.72
0.2604166667 51.2 19.4 19.4 19.4
0.2708333333 51.2 18.07 18.07 18.07
0.2812500000 51.2 18.03 18.03 18.03
0.2916666667 51.2 17.43 17.43 17.43
0.3020833333 51.2 17.35 17.35 17.35
0.3125000000 51.2 17.69 17.69 17.69
0.3229166667 51.2 18.37 18.37 18.37
0.3333333333 51.2 18.37 18.37 18.37
0.3437500000 51.2 18.09 18.09 18.09
0.3541666667 51.2 19.31 19.31 19.31
0.3645833333 51.2 20.39 20.39 20.39
0.3750000000 51.2 25.75 25.75 25.75
0.3854166667 51.2 27.43 27.43 27.43
0.3958333333 51.2 38.14 38.14 38.14
0.4062500000 51.2 50.43 50.43 50.43
0.4166666667 51.2 54.36 54.36 54.36
0.4270833333 51.2 64.85 64.85 64.85
0.4375000000 51.2 75.75 75.75 75.75
0.4479166667 51.2 88.95 88.95 88.95
0.4583333333 51.2 96.68 96.68 96.68
0.4687500000 51.2 102.54 102.54 102.54
0.4791666667 51.2 106.18 106.18 106.18
0.4895833333 51.2 95.51 95.51 95.51
0.5000000000 51.2 91.18 91.18 91.18
0.5104166667 51.2 90.71 90.71 90.71
0.5208333333 51.2 86.23 86.23 86.23
0.5312500000 51.2 85.71 85.71 85.71
0.5416666667 51.2 74.13 74.13 74.13
0.5520833333 51.2 87.45 87.45 87.45
0.5625000000 51.2 85.83 85.83 85.83
0.5729166667 51.2 80.16 80.16 80.16
0.5833333333 51.2 76.22 76.22 76.22
0.5937500000 51.2 65.42 65.42 65.42
0.6041666667 51.2 57.19 57.19 57.19
0.6145833333 51.2 76.52 76.52 76.52
0.6250000000 51.2 70.05 70.05 70.05
0.6354166667 51.2 64.18 64.18 64.18
0.6458333333 51.2 66.79 66.79 66.79
0.6562500000 51.2 53.09 53.09 53.09
0.6666666667 51.2 48.59 48.59 48.59
0.6770833333 51.2 51.67 51.67 51.67
0.6875000000 51.2 50.5 50.5 50.5
0.6979166667 51.2 51.12 51.12 51.12
0.7083333333 51.2 49 49 49
0.7187500000 51.2 46.94 46.94 46.94
0.7291666667 51.2 45.21 45.21 45.21
0.7395833333 51.2 45.48 45.48 45.48
0.7500000000 51.2 45.37 45.37 45.37
0.7604166667 51.2 45.06 45.06 45.06
0.7708333333 51.2 44.73 44.73 44.73
0.7812500000 51.2 56.42 56.42 56.42
0.7916666667 51.2 56.52 56.52 56.52
0.8020833333 51.2 56.34 56.34 56.34
0.8125000000 51.2 58.43 58.43 58.43
0.8229166667 51.2 49.05 49.05 49.05
0.8333333333 51.2 53.24 53.24 53.24
0.8437500000 51.2 63.45 63.45 63.45
0.8541666667 51.2 60.41 60.41 60.41
0.8645833333 51.2 61.91 61.91 61.91
0.8750000000 51.2 59.52 59.52 59.52
0.8854166667 51.2 51.65 51.65 51.65
0.8958333333 51.2 72.08 72.08 72.08
0.9062500000 51.2 68.09 68.09 68.09
0.9166666667 51.2 65.82 65.82 65.82
0.9270833333 51.2 63.99 63.99 63.99
0.9375000000 51.2 49.15 49.15 49.15
0.9479166667 51.2 72.37 72.37 72.37
0.9583333333 51.2 66.46 66.46 66.46
0.9687500000 51.2 69.61 69.61 69.61
