#1				
double Inf_Xs(1346,5)  # t	steady	dry	rain	strm
-2.0000000000	-1	0	1	2
0.0000000000	202.32	224.35	224.35	224.35
0.0104166667	202.32	224.32	224.32	224.32
0.0208333333	202.32	224.37	224.37	224.37
0.0312500000	202.32	220.97	220.97	220.97
0.0416666667	202.32	217.74	217.74	217.74
0.0520833333	202.32	214.34	214.34	214.34
0.0625000000	202.32	219.93	219.93	219.93
0.0729166667	202.32	213.29	213.29	213.29
0.0833333333	202.32	207.12	207.12	207.12
0.0937500000	202.32	201.06	201.06	201.06
0.1041666667	202.32	196.11	196.11	196.11
0.1145833333	202.32	190.7	190.7	190.7
0.1250000000	202.32	183.22	183.22	183.22
0.1354166667	202.32	174.89	174.89	174.89
0.1458333333	202.32	166.42	166.42	166.42
0.1562500000	202.32	157.98	157.98	157.98
0.1666666667	202.32	150.77	150.77	150.77
0.1770833333	202.32	144.79	144.79	144.79
0.1875000000	202.32	139.34	139.34	139.34
0.1979166667	202.32	136.22	136.22	136.22
0.2083333333	202.32	133.83	133.83	133.83
0.2187500000	202.32	131.84	131.84	131.84
0.2291666667	202.32	131.33	131.33	131.33
0.2395833333	202.32	131.11	131.11	131.11
0.2500000000	202.32	129.63	129.63	129.63
0.2604166667	202.32	127.22	127.22	127.22
0.2708333333	202.32	124.57	124.57	124.57
0.2812500000	202.32	122.01	122.01	122.01
0.2916666667	202.32	119.83	119.83	119.83
0.3020833333	202.32	117.94	117.94	117.94
0.3125000000	202.32	116.84	116.84	116.84
0.3229166667	202.32	116.72	116.72	116.72
0.3333333333	202.32	116.98	116.98	116.98
0.3437500000	202.32	116.91	116.91	116.91
0.3541666667	202.32	117.56	117.56	117.56
0.3645833333	202.32	119.38	119.38	119.38
0.3750000000	202.32	121.59	121.59	121.59
0.3854166667	202.32	129.57	129.57	129.57
0.3958333333	202.32	139.29	139.29	139.29
0.4062500000	202.32	153.94	153.94	153.94
0.4166666667	202.32	171.09	171.09	171.09
0.4270833333	202.32	185.28	185.28	185.28
0.4375000000	202.32	200.68	200.68	200.68
0.4479166667	202.32	214.33	214.33	214.33
0.4583333333	202.32	230.08	230.08	230.08
0.4687500000	202.32	243.93	243.93	243.93
0.4791666667	202.32	255.77	255.77	255.77
0.4895833333	202.32	269.73	269.73	269.73
0.5000000000	202.32	273.19	273.19	273.19
0.5104166667	202.32	271.84	271.84	271.84
0.5208333333	202.32	271.76	271.76	271.76
0.5312500000	202.32	271.04	271.04	271.04
0.5416666667	202.32	271.54	271.54	271.54
0.5520833333	202.32	263.67	263.67	263.67
0.5625000000	202.32	266.45	266.45	266.45
0.5729166667	202.32	267.82	267.82	267.82
0.5833333333	202.32	265.86	265.86	265.86
0.5937500000	202.32	263.15	263.15	263.15
0.6041666667	202.32	253.85	253.85	253.85
0.6145833333	202.32	243.93	243.93	243.93
0.6250000000	202.32	248.61	248.61	248.61
0.6354166667	202.32	247.73	247.73	247.73
0.6458333333	202.32	243.61	243.61	243.61
0.6562500000	202.32	242.49	242.49	242.49
0.6666666667	202.32	232.07	232.07	232.07
0.6770833333	202.32	222.93	222.93	222.93
0.6875000000	202.32	218.48	218.48	218.48
0.6979166667	202.32	215.95	215.95	215.95
0.7083333333	202.32	214.12	214.12	214.12
0.7187500000	202.32	211.29	211.29	211.29
0.7291666667	202.32	206.65	206.65	206.65
0.7395833333	202.32	203.93	203.93	203.93
0.7500000000	202.32	202.1	202.1	202.1
0.7604166667	202.32	200.66	200.66	200.66
0.7708333333	202.32	199.4	199.4	199.4
0.7812500000	202.32	199.34	199.34	199.34
0.7916666667	202.32	205.92	205.92	205.92
0.8020833333	202.32	210.19	210.19	210.19
0.8125000000	202.32	213.09	213.09	213.09
0.8229166667	202.32	215.99	215.99	215.99
0.8333333333	202.32	212.87	212.87	212.87
0.8437500000	202.32	213.65	213.65	213.65
0.8541666667	202.32	220	220	220
0.8645833333	202.32	222.34	222.34	222.34
0.8750000000	202.32	224.89	224.89	224.89
0.8854166667	202.32	225.05	225.05	225.05
0.8958333333	202.32	220.69	220.69	220.69
0.9062500000	202.32	229.79	229.79	229.79
0.9166666667	202.32	233.33	233.33	233.33
